Designator,Mid X,Mid Y,Rotation,Layer
C1,162.602993,-108.794507,225.0,top
C10,162.505493,-112.852007,180.0,top
C11,157.147993,-105.499507,90.0,top
C12,159.647993,-118.807007,270.0,top
C13,161.197993,-118.819507,270.0,top
C14,162.515493,-111.282007,0.0,top
C15,149.435493,-112.002007,180.0,top
C16,155.587993,-105.499507,90.0,top
C17,154.007993,-105.479507,90.0,top
C18,149.437993,-110.422007,180.0,top
C19,139.2085,-110.05,90.0,top
C2,159.014276,-105.193224,225.0,top
C20,170.28,-107.25,270.0,top
C3,157.367993,-101.462007,90.0,top
C4,142.837993,-103.862007,90.0,top
C5,133.267993,-119.569507,90.0,top
C6,148.39,-126.71,270.0,top
C7,139.287993,-119.679507,90.0,top
C8,150.107993,-121.994507,270.0,top
C9,141.697993,-119.649507,90.0,top
D1,144.94,-122.2175,90.0,top
D10,153.697993,-101.412007,0.0,top
D2,124.7275,-122.245,0.0,top
D3,124.7175,-123.83,0.0,top
D4,146.58,-122.215,90.0,top
D5,170.155744,-122.2225,90.0,top
D6,171.785744,-122.2325,90.0,top
D8,156.307993,-122.182007,0.0,top
D9,131.37,-90.12,270.0,top
F1,162.33,-96.845,270.0,top
F2,159.38,-96.845,270.0,top
F3,132.75,-100.57,0.0,top
F4,132.76,-103.52,0.0,top
F5,175.815,-115.52,180.0,top
F6,175.835,-112.57,180.0,top
F7,136.325026,-96.27,0.0,top
FB1,152.117993,-122.022007,90.0,top
FB2,152.207993,-105.279507,270.0,top
FID1,136.325026,-96.27,0.0,top
FID2,178.66,-96.27,0.0,top
FID3,178.66,-119.91,0.0,top
J1,154.86,-91.41,180.0,top
J2,127.02,-108.02,270.0,top
J3,181.54,-108.03,90.0,top
J4,174.265,-89.65,270.0,top
J5,176.49,-126.68,180.0,top
J6,144.3,-126.68,180.0,top
J7,167.122993,-109.554507,0.0,top
J8,154.87,-130.13,0.0,top
J9,136.33,-89.555,0.0,top
R1,144.94,-118.8025,270.0,top
R10,132.5275,-114.93,180.0,top
R11,167.86,-95.16,0.0,top
R12,167.8775,-96.76,180.0,top
R13,168.497007,-122.217993,270.0,top
R14,176.17,-102.53,0.0,top
R15,176.1825,-100.99,0.0,top
R16,166.937007,-122.217993,90.0,top
R17,151.09,-96.76,90.0,top
R18,152.63,-96.7525,270.0,top
R19,145.767993,-110.312007,180.0,top
R2,128.235,-122.23,180.0,top
R20,179.627993,-123.112007,270.0,top
R21,165.967993,-101.482007,90.0,top
R22,156.567993,-118.797007,90.0,top
R23,158.117993,-118.807007,90.0,top
R24,148.4,-130.33,90.0,top
R25,136.295493,-116.689507,180.0,top
R26,158.737993,-122.229507,90.0,top
R27,153.897993,-122.2275,90.0,top
R3,149.44,-96.77,90.0,top
R4,147.91,-96.77,90.0,top
R5,128.245,-123.855,180.0,top
R6,146.585,-118.8,270.0,top
R7,170.170744,-118.812993,270.0,top
R8,171.780744,-118.812993,270.0,top
R9,132.525,-113.38,180.0,top
SW1,183.317993,-123.052007,0.0,top
SW2,162.307993,-101.492007,180.0,top
U1,155.932993,-112.504507,270.0,top
U2,146.477993,-105.852007,90.0,top
U3,136.257993,-119.587007,270.0,top
U4,135.8885,-110.08,180.0,top
U5,173.6,-107.16,0.0,top
Y1,160.802993,-107.004507,135.0,top
